,Datum,frischwasser,strom,gas,heizoel
0,2015/01/01,-4,5,4,-69
1,2015/02/01,-4,4,4,57
2,2015/03/01,-3,2,3,76
3,2015/04/01,-3,0,1,70
4,2015/05/01,-2,0,1,110
5,2015/06/01,-2,0,1,81
6,2015/07/01,2,-1,-1,30
7,2015/08/01,2,-1,-1,-34
8,2015/09/01,2,-1,-2,-38
9,2015/10/01,4,-2,-3,-50
10,2015/11/01,4,-3,-3,-48
11,2015/12/01,5,-3,-5,-185
12,2016/01/01,14,1,-16,-293
13,2016/02/01,14,1,-18,-298
14,2016/03/01,15,3,-18,-227
15,2016/04/01,18,7,-20,-235
16,2016/05/01,18,7,-21,-168
17,2016/06/01,18,7,-24,-124
18,2016/07/01,20,5,-27,-156
19,2016/08/01,20,5,-28,-179
20,2016/09/01,21,5,-30,-158
21,2016/10/01,22,5,-37,-64
22,2016/11/01,22,4,-40,-111
23,2016/12/01,22,4,-40,-7
24,2017/01/01,30,14,-60,5
25,2017/02/01,29,15,-62,10
26,2017/03/01,30,16,-64,-32
27,2017/04/01,30,16,-65,-5
28,2017/05/01,30,17,-66,-69
29,2017/06/01,30,21,-66,-116
30,2017/07/01,30,22,-68,-110
31,2017/08/01,31,22,-68,-93
32,2017/09/01,31,23,-67,-49
33,2017/10/01,30,23,-68,-28
34,2017/11/01,30,23,-68,23
35,2017/12/01,30,24,-68,33
36,2018/01/01,39,30,-73,61
37,2018/02/01,40,31,-74,8
38,2018/03/01,40,31,-75,19
39,2018/04/01,42,34,-75,75
40,2018/05/01,42,34,-75,157
41,2018/06/01,42,33,-81,153
42,2018/07/01,44,32,-81,144
43,2018/08/01,44,33,-82,176
44,2018/09/01,44,33,-82,291
45,2018/10/01,45,33,-82,361
46,2018/11/01,46,34,-81,441
47,2018/12/01,47,34,-80,201
48,2019/01/01,62,55,-54,138
49,2019/02/01,62,60,-52,151
50,2019/03/01,62,61,-50,157
51,2019/04/01,64,65,-45,176
52,2019/05/01,64,67,-44,200
53,2019/06/01,64,68,-43,113
54,2019/07/01,67,71,-41,138
55,2019/08/01,68,72,-40,115
56,2019/09/01,68,73,-39,155
57,2019/10/01,66,73,-35,146
58,2019/11/01,66,74,-34,126
59,2019/12/01,66,76,-32,127
60,2020/01/01,74,96,-30,129
61,2020/02/01,75,107,-29,35
62,2020/03/01,75,109,-28,-70
63,2020/04/01,75,112,-28,-103
64,2020/05/01,75,112,-28,-166
65,2020/06/01,75,112,-29,-182
66,2020/07/01,56,93,-49,-218
67,2020/08/01,56,94,-47,-250
68,2020/09/01,56,93,-49,-302
69,2020/10/01,58,93,-49,-280
70,2020/11/01,58,92,-52,-269
71,2020/12/01,58,91,-51,-138
72,2021/01/01,92,109,-11,-18
73,2021/02/01,92,110,-9,46
74,2021/03/01,92,110,-7,110
75,2021/04/01,94,110,-8,86
76,2021/05/01,94,111,-7,129
77,2021/06/01,94,112,-6,166
78,2021/07/01,97,111,-4,201
79,2021/08/01,97,113,0,180
80,2021/09/01,97,115,5,232
81,2021/10/01,99,120,21,448
82,2021/11/01,98,126,39,476
83,2021/12/01,98,130,64,388
84,2022/01/01,115,232,307,492
85,2022/02/01,118,254,345,596
86,2022/03/01,119,307,408,1708
87,2022/04/01,120,324,463,1157
88,2022/05/01,120,350,541,1199
89,2022/06/01,120,357,597,1431
90,2022/07/01,123,312,744,1433
91,2022/08/01,123,298,838,1496
92,2022/09/01,124,349,961,1568
93,2022/10/01,127,411,1142,1647
